Crash ID,Crash Date,Crash Death Count,Crash Non-Suspected Serious Injury Count,Crash Not Injured Count,Crash Possible Injury Count,Crash Severity,Crash Suspected Serious Injury Count,Crash Total Injury Count,Object Struck,Person Death Count,Person Injury Severity,Person Non-Suspected Serious Injury Count,Person Not Injured Count,Person Possible Injury Count,Person Total Injury Count,Person Type
15349595,10/1/16,0,1,0,0,B - SUSPECTED MINOR INJURY,0,1,NOT APPLICABLE,0,99 - UNKNOWN,0,0,0,0,1 - DRIVER
15349595,10/1/16,0,1,0,0,B - SUSPECTED MINOR INJURY,0,1,NOT APPLICABLE,0,B - SUSPECTED MINOR INJURY,1,0,0,1,1 - DRIVER
15349693,10/1/16,0,0,2,1,C - POSSIBLE INJURY,0,1,NOT APPLICABLE,0,N - NOT INJURED,0,1,0,0,1 - DRIVER
15349693,10/1/16,0,0,2,1,C - POSSIBLE INJURY,0,1,NOT APPLICABLE,0,N - NOT INJURED,0,1,0,0,2 - PASSENGER/OCCUPANT
15349693,10/1/16,0,0,2,1,C - POSSIBLE INJURY,0,1,NOT APPLICABLE,0,C - POSSIBLE INJURY,0,0,1,1,1 - DRIVER
15349841,10/1/16,0,0,2,2,C - POSSIBLE INJURY,0,2,NOT APPLICABLE,0,N - NOT INJURED,0,1,0,0,1 - DRIVER
15349841,10/1/16,0,0,2,2,C - POSSIBLE INJURY,0,2,NOT APPLICABLE,0,C - POSSIBLE INJURY,0,0,1,1,1 - DRIVER
15349841,10/1/16,0,0,2,2,C - POSSIBLE INJURY,0,2,NOT APPLICABLE,0,C - POSSIBLE INJURY,0,0,1,1,2 - PASSENGER/OCCUPANT
15349841,10/1/16,0,0,2,2,C - POSSIBLE INJURY,0,2,NOT APPLICABLE,0,N - NOT INJURED,0,1,0,0,2 - PASSENGER/OCCUPANT
15349842,10/1/16,0,0,0,0,99 - UNKNOWN,0,0,NOT APPLICABLE,0,99 - UNKNOWN,0,0,0,0,1 - DRIVER
15349845,10/1/16,0,0,0,1,C - POSSIBLE INJURY,0,1,NOT APPLICABLE,0,C - POSSIBLE INJURY,0,0,1,1,1 - DRIVER
15349845,10/1/16,0,0,0,1,C - POSSIBLE INJURY,0,1,NOT APPLICABLE,0,99 - UNKNOWN,0,0,0,0,1 - DRIVER
15349845,10/1/16,0,0,0,1,C - POSSIBLE INJURY,0,1,NOT APPLICABLE,0,99 - UNKNOWN,0,0,0,0,2 - PASSENGER/OCCUPANT
15349991,10/1/16,0,0,1,2,C - POSSIBLE INJURY,0,2,NOT APPLICABLE,0,N - NOT INJURED,0,1,0,0,1 - DRIVER
15349991,10/1/16,0,0,1,2,C - POSSIBLE INJURY,0,2,NOT APPLICABLE,0,C - POSSIBLE INJURY,0,0,1,1,1 - DRIVER
15349991,10/1/16,0,0,1,2,C - POSSIBLE INJURY,0,2,NOT APPLICABLE,0,C - POSSIBLE INJURY,0,0,1,1,2 - PASSENGER/OCCUPANT
15350085,10/1/16,0,0,2,0,N - NOT INJURED,0,0,NOT APPLICABLE,0,N - NOT INJURED,0,1,0,0,1 - DRIVER
15350085,10/1/16,0,0,2,0,N - NOT INJURED,0,0,NOT APPLICABLE,0,N - NOT INJURED,0,1,0,0,1 - DRIVER
15350099,10/1/16,0,0,2,0,N - NOT INJURED,0,0,HIT OTHER FIXED OBJECT,0,N - NOT INJURED,0,1,0,0,1 - DRIVER
15350099,10/1/16,0,0,2,0,N - NOT INJURED,0,0,HIT OTHER FIXED OBJECT,0,N - NOT INJURED,0,1,0,0,2 - PASSENGER/OCCUPANT
15350102,10/1/16,0,3,0,0,B - SUSPECTED MINOR INJURY,0,3,"HIT TREE, SHRUB, LANDSCAPING",0,B - SUSPECTED MINOR INJURY,1,0,0,1,1 - DRIVER
15350102,10/1/16,0,3,0,0,B - SUSPECTED MINOR INJURY,0,3,"HIT TREE, SHRUB, LANDSCAPING",0,B - SUSPECTED MINOR INJURY,1,0,0,1,2 - PASSENGER/OCCUPANT
15350102,10/1/16,0,3,0,0,B - SUSPECTED MINOR INJURY,0,3,"HIT TREE, SHRUB, LANDSCAPING",0,B - SUSPECTED MINOR INJURY,1,0,0,1,2 - PASSENGER/OCCUPANT
15350135,10/1/16,0,0,4,0,N - NOT INJURED,0,0,NOT APPLICABLE,0,99 - UNKNOWN,0,0,0,0,1 - DRIVER
15350135,10/1/16,0,0,4,0,N - NOT INJURED,0,0,NOT APPLICABLE,0,N - NOT INJURED,0,1,0,0,1 - DRIVER
15350135,10/1/16,0,0,4,0,N - NOT INJURED,0,0,NOT APPLICABLE,0,N - NOT INJURED,0,1,0,0,2 - PASSENGER/OCCUPANT
15350135,10/1/16,0,0,4,0,N - NOT INJURED,0,0,NOT APPLICABLE,0,N - NOT INJURED,0,1,0,0,2 - PASSENGER/OCCUPANT
15350135,10/1/16,0,0,4,0,N - NOT INJURED,0,0,NOT APPLICABLE,0,N - NOT INJURED,0,1,0,0,2 - PASSENGER/OCCUPANT
15350149,10/1/16,1,0,3,0,K - FATAL INJURY,0,0,NOT APPLICABLE,0,N - NOT INJURED,0,1,0,0,1 - DRIVER
15350149,10/1/16,1,0,3,0,K - FATAL INJURY,0,0,NOT APPLICABLE,0,N - NOT INJURED,0,1,0,0,2 - PASSENGER/OCCUPANT
15350149,10/1/16,1,0,3,0,K - FATAL INJURY,0,0,NOT APPLICABLE,0,N - NOT INJURED,0,1,0,0,2 - PASSENGER/OCCUPANT
15350149,10/1/16,1,0,3,0,K - FATAL INJURY,0,0,NOT APPLICABLE,1,K - FATAL INJURY,0,0,0,0,4 - PEDESTRIAN
15350155,10/1/16,0,0,0,0,A - SUSPECTED SERIOUS INJURY,1,1,HIT GUARDRAIL,0,A - SUSPECTED SERIOUS INJURY,0,0,0,1,1 - DRIVER
15350232,10/1/16,0,0,5,3,C - POSSIBLE INJURY,0,3,NOT APPLICABLE,0,N - NOT INJURED,0,1,0,0,1 - DRIVER
15350232,10/1/16,0,0,5,3,C - POSSIBLE INJURY,0,3,NOT APPLICABLE,0,C - POSSIBLE INJURY,0,0,1,1,1 - DRIVER
15350232,10/1/16,0,0,5,3,C - POSSIBLE INJURY,0,3,NOT APPLICABLE,0,C - POSSIBLE INJURY,0,0,1,1,2 - PASSENGER/OCCUPANT
15350232,10/1/16,0,0,5,3,C - POSSIBLE INJURY,0,3,NOT APPLICABLE,0,N - NOT INJURED,0,1,0,0,2 - PASSENGER/OCCUPANT
15350232,10/1/16,0,0,5,3,C - POSSIBLE INJURY,0,3,NOT APPLICABLE,0,C - POSSIBLE INJURY,0,0,1,1,2 - PASSENGER/OCCUPANT
15350232,10/1/16,0,0,5,3,C - POSSIBLE INJURY,0,3,NOT APPLICABLE,0,N - NOT INJURED,0,1,0,0,1 - DRIVER
15350232,10/1/16,0,0,5,3,C - POSSIBLE INJURY,0,3,NOT APPLICABLE,0,N - NOT INJURED,0,1,0,0,2 - PASSENGER/OCCUPANT
15350232,10/1/16,0,0,5,3,C - POSSIBLE INJURY,0,3,NOT APPLICABLE,0,N - NOT INJURED,0,1,0,0,2 - PASSENGER/OCCUPANT
15350233,10/1/16,0,0,0,0,99 - UNKNOWN,0,0,HIT MAILBOX,0,99 - UNKNOWN,0,0,0,0,1 - DRIVER
15350235,10/1/16,0,1,0,0,B - SUSPECTED MINOR INJURY,0,1,HIT CURB,0,B - SUSPECTED MINOR INJURY,1,0,0,1,5 - DRIVER OF MOTORCYCLE TYPE VEHICLE
15350236,10/1/16,0,0,5,0,N - NOT INJURED,0,0,NOT APPLICABLE,0,N - NOT INJURED,0,1,0,0,1 - DRIVER
15350236,10/1/16,0,0,5,0,N - NOT INJURED,0,0,NOT APPLICABLE,0,N - NOT INJURED,0,1,0,0,1 - DRIVER
15350236,10/1/16,0,0,5,0,N - NOT INJURED,0,0,NOT APPLICABLE,0,N - NOT INJURED,0,1,0,0,2 - PASSENGER/OCCUPANT
15350236,10/1/16,0,0,5,0,N - NOT INJURED,0,0,NOT APPLICABLE,0,N - NOT INJURED,0,1,0,0,2 - PASSENGER/OCCUPANT
15350236,10/1/16,0,0,5,0,N - NOT INJURED,0,0,NOT APPLICABLE,0,N - NOT INJURED,0,1,0,0,2 - PASSENGER/OCCUPANT
15350238,10/1/16,0,0,2,0,N - NOT INJURED,0,0,NOT APPLICABLE,0,N - NOT INJURED,0,1,0,0,1 - DRIVER
15350238,10/1/16,0,0,2,0,N - NOT INJURED,0,0,NOT APPLICABLE,0,N - NOT INJURED,0,1,0,0,1 - DRIVER
15350239,10/1/16,0,0,0,2,C - POSSIBLE INJURY,0,2,NOT APPLICABLE,0,C - POSSIBLE INJURY,0,0,1,1,1 - DRIVER
15350239,10/1/16,0,0,0,2,C - POSSIBLE INJURY,0,2,NOT APPLICABLE,0,C - POSSIBLE INJURY,0,0,1,1,1 - DRIVER
15350245,10/1/16,0,0,1,0,N - NOT INJURED,0,0,HIT HIGHWAY SIGN,0,N - NOT INJURED,0,1,0,0,1 - DRIVER
15350269,10/1/16,0,0,2,0,N - NOT INJURED,0,0,NOT APPLICABLE,0,N - NOT INJURED,0,1,0,0,1 - DRIVER
15350269,10/1/16,0,0,2,0,N - NOT INJURED,0,0,NOT APPLICABLE,0,N - NOT INJURED,0,1,0,0,1 - DRIVER
15350270,10/1/16,0,0,1,2,C - POSSIBLE INJURY,0,2,NOT APPLICABLE,0,N - NOT INJURED,0,1,0,0,1 - DRIVER
15350270,10/1/16,0,0,1,2,C - POSSIBLE INJURY,0,2,NOT APPLICABLE,0,C - POSSIBLE INJURY,0,0,1,1,1 - DRIVER
15350270,10/1/16,0,0,1,2,C - POSSIBLE INJURY,0,2,NOT APPLICABLE,0,C - POSSIBLE INJURY,0,0,1,1,2 - PASSENGER/OCCUPANT
15350271,10/1/16,0,1,2,0,B - SUSPECTED MINOR INJURY,0,1,"HIT HOUSE, BUILDING, OR BUILDING FIXTURE",0,B - SUSPECTED MINOR INJURY,1,0,0,1,1 - DRIVER
15350271,10/1/16,0,1,2,0,B - SUSPECTED MINOR INJURY,0,1,"HIT HOUSE, BUILDING, OR BUILDING FIXTURE",0,N - NOT INJURED,0,1,0,0,2 - PASSENGER/OCCUPANT
15350271,10/1/16,0,1,2,0,B - SUSPECTED MINOR INJURY,0,1,"HIT HOUSE, BUILDING, OR BUILDING FIXTURE",0,N - NOT INJURED,0,1,0,0,2 - PASSENGER/OCCUPANT
15350272,10/1/16,0,3,0,0,B - SUSPECTED MINOR INJURY,0,3,NOT APPLICABLE,0,99 - UNKNOWN,0,0,0,0,1 - DRIVER
15350272,10/1/16,0,3,0,0,B - SUSPECTED MINOR INJURY,0,3,NOT APPLICABLE,0,B - SUSPECTED MINOR INJURY,1,0,0,1,1 - DRIVER
15350272,10/1/16,0,3,0,0,B - SUSPECTED MINOR INJURY,0,3,NOT APPLICABLE,0,B - SUSPECTED MINOR INJURY,1,0,0,1,2 - PASSENGER/OCCUPANT
15350272,10/1/16,0,3,0,0,B - SUSPECTED MINOR INJURY,0,3,NOT APPLICABLE,0,B - SUSPECTED MINOR INJURY,1,0,0,1,2 - PASSENGER/OCCUPANT
15350273,10/1/16,0,0,2,1,C - POSSIBLE INJURY,0,1,NOT APPLICABLE,0,N - NOT INJURED,0,1,0,0,1 - DRIVER
15350273,10/1/16,0,0,2,1,C - POSSIBLE INJURY,0,1,NOT APPLICABLE,0,C - POSSIBLE INJURY,0,0,1,1,2 - PASSENGER/OCCUPANT
15350273,10/1/16,0,0,2,1,C - POSSIBLE INJURY,0,1,NOT APPLICABLE,0,N - NOT INJURED,0,1,0,0,1 - DRIVER
15350274,10/1/16,0,0,1,1,C - POSSIBLE INJURY,0,1,NOT APPLICABLE,0,N - NOT INJURED,0,1,0,0,1 - DRIVER
